"No.","Time","Source","Destination","Protocol","Length","Value","Info"
"731","98.576685","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","33","001757170e00f401d007000003000000000000b2e7","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"732","98.579862","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0018521800e876","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"734","98.666741","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","00185318091446010c00001e000021eb","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"735","98.670051","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00195a190078ec","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"737","98.891708","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","00195b190cc80001000007500001000007a5da","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"738","98.897255","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001a5c1a008b0b","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"740","98.981625","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","25","001a5d1a06030005030005db3c","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"741","98.987110","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001b5e1b00da56","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"743","99.431776","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","22","001b5f1b03140105c934","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"744","99.435544","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001c601c00e911","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"746","99.611884","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","36","001c611c113030303030310000000000000000000002d2cc","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"747","99.615827","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001db21d002c29","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"749","99.791908","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","38","001db31d130000000000000000040000000000000000000095d3","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"750","99.795890","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001e901e00d994","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"752","100.151661","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","30","001e911e0b6464000000000000000000fa96","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"753","100.156801","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001f6c1f00db31","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"755","100.647028","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","36","001f6d1f110000000000000000000000000000000000075b","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"756","100.650400","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0020502000b494","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"758","100.782811","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","29","002051200a00000000000000000000964d","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"759","100.784695","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0021222100ed11","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"761","101.097812","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00212321080000000000000400fcb5","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"762","101.100894","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0022a4220044cd","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"764","101.412250","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","43","0022a522180000000000000000000000000000000000000000000000001436","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"765","101.417274","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00233a23004d9d","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"767","102.176796","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","00233b230cdd11000000000000dc110000080c","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"768","102.181141","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0024b224002196","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"770","103.503618","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","38","0024b3241300000000000000000400000000000000000000634a","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"771","103.506269","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00256a25002569","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"773","103.842407","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","43","00256b251800006405a40100006405a40100006405a40100006405a401ba86","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"774","103.845984","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","24","00263c2605dc11000005f86b","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"776","103.931723","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","21","00263d260200204d66","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"777","103.935356","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00276a2700470f","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"779","104.022480","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","99","0000810050032092009abf8d1adc110000020100009e0000002800000000000000c1009aâ\200\246","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"780","104.292284","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","73","00008100360220b70074bf8d1ad9110000cdcce840000000000000000000000000b7005fâ\200\246","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"781","104.741957","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","43","00276b271800006405a40100006405a40100006405a40100006405a40159ce","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"782","105.167565","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","16","20000400","Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"783","105.172101","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","16","00000000","Sent Write Command, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"784","105.174787","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0028282800b46c","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"787","105.372770","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","00282928090000000000000000015fcf","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"788","105.376384","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00292229004498","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"790","105.461788","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00292329080000000000000400b7ff","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"791","105.464841","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","002a382a00b549","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"793","105.552769","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","002a392a0900ffc8c8c804c801001bcd","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"794","105.555639","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","002b3a2b00e414","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"796","105.641818","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","002b3b2b0cdf11000000000000de110000e10c","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"797","105.644859","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","002cb22c00881f","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"799","105.731789","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","38","002cb32c13000000000000000004000000000000000000001585","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"800","105.735045","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","002d242d0020e6","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"802","105.866750","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","23","002d252d04b4000114764e","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"803","105.870586","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","002e3a2e0011eb","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"805","105.956770","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","002e3b2e0cdf11000000000000de110000258a","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"806","105.959909","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","002fb22f00db4a","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"808","106.316910","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","38","002fb32f13000000000000000004000000000000000000002eeb","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"809","106.321349","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","24","00303c3005de11000002c2c9","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"811","106.406673","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","21","00303d30020021524a","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"812","106.410231","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00316a310092a6","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"814","106.587356","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","73","000081003602213f00b2bf8d1ade110000826b344103000000ffffffff000000002100b2â\200\246","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"815","106.677348","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","43","00316b311800006405a40100006405a40100006405a40100006405a4012670","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"816","106.681081","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00326a3200c1f3","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"818","106.992142","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","43","00326b321800006405a40100006405a40100006405a40100006405a401a494","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"819","106.992468","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","16","40000000","Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"820","106.997536","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","16","00000000","Sent Write Command, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"821","106.999346","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00332433005cc6","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"824","107.127573","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","23","0033253304b400011451d4","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"825","107.131249","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00346c3400c7eb","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"827","107.217883","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","36","00346d3411000000000000000000000000000000000083d9","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"828","107.221438","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00353a35009834","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"830","107.307182","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","00353b350cdf11000000000000de1100001a2a","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"831","107.310021","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00363a3600cb61","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"833","107.396847","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","00363b360cdf11000000000000de110000b9a7","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"840","113.511355","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","16","40000000","Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"841","113.521173","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0037243700980a","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"843","114.479287","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","23","0037253704b4000114f0d2","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"844","114.487240","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00383a3800c442","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"846","114.568037","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","00383b380ce011000000000000df110000127b","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"847","114.576024","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00396c39009b9d","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"849","114.629452","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","36","00396d39110000000000000000000000000000000000bddf","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"850","114.637340","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","16","00000000","Sent Write Command, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"851","114.641534","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","003a3a3a00a624","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"854","115.588536","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","003a3b3a0ce011000000000000df110000d08d","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"855","115.595491","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","24","003b3c3b05df11000001df18","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"857","115.649223","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","21","003b3d3b0200222e64","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"858","115.770417","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","47","000081001c01223d00babf8d1adf1100009a99993e030000000000000000000000b689","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"899","139.286854","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","003c363c0061fb","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"935","141.959094","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","003c373c08d7bf8d1afe0c00006e78","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"936","142.666949","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","16","00200000","Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"937","142.670928","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","16","00000000","Sent Write Command, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"938","142.672185","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","003d3e3d00f161","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"940","142.707052","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","003d3f3d080100ffffffffffff287c","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"941","142.712740","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","003e3a3e0062e8","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"943","142.766639","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","003e3b3e0ceb11000000000000ea110000eefe","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"944","142.770575","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","003f3a3f0053db","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"946","142.827244","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","003f3b3f0ceb11000000000000ea1100008f85","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"947","142.830820","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","20","004040400100c0c4","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"949","142.887662","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","42","00404140170041000000000000000000000000000000002c01102701b63a","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"950","142.890343","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","24","00413c4105ea1100000b03e1","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"958","142.976946","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","21","00413d41020023d15e","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"959","143.037937","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","99","000081005003234700d7bf8d1aea1100000100000000ffffffffff0000000000003900d7â\200\246","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"960","143.127674","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","99","000081005003234700d7bf8d1ae71100000100000000ffffffffff0000000000003900d7â\200\246","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"962","143.187799","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","58","00008100500323db00c4bf8d1ae4110000000000000000000000000000060000001701c2â\200\246","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"963","143.247529","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","73","000081003602236000bfbf8d1ae1110000000201002c01000000000000000000006100bfâ\200\246","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"964","143.297495","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00425842005d50","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"966","146.039407","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","124","00425942690f0000000000000000000078000000000000000000002c0100000000000000â\200\246","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"967","162.107483","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","16","00220000","Rcvd Handle Value Notification, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"968","162.113425","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00433a43006796","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"970","162.147000","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","00433b430cf011000000000000ef110000e476","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"971","162.153307","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","16","00000000","Sent Write Command, Handle: 0x001c (Tandem Diabetes Care: Unknown)"
"972","162.155461","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00446c44009ee3","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"974","162.240110","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","36","00446d441100000000000000000000000000000000001048","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"975","162.247849","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0045384500a152","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"977","162.330708","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","004539450900ffc8c8c804c8010087a8","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"978","162.338641","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00462846009144","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"980","162.386697","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","0046294609e8030000000000000197d4","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"981","162.391241","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00472a4700c019","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"983","162.447499","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","29","00472b470a00000000000000000000ad16","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"984","162.456376","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00483e48005d96","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"986","162.509476","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00483f48080100ffffffffff00297f","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"987","162.518497","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00493a4900ac79","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"989","162.569433","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","00493b490cf011000000000000ef1100004d6b","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"990","162.577875","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","24","004a3c4a05ef11000005b568","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"992","162.717908","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","21","004a3d4a0200242930","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"993","162.726708","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","004bb24b00358d","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"995","162.780298","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","99","000081005003244400ebbf8d1aef110000000f00060000e8031e006e00701700004400ebâ\200\246","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"996","162.868446","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","73","000081003602244400ebbf8d1aec110000000100030000e80300000000000000004400ebâ\200\246","Rcvd Handle Value Notification, Handle: 0x001f (Tandem Diabetes Care: Unknown)"
"997","162.927307","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","38","004bb34b1300000000000000000400000000000000000000589a","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"998","162.934180","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","20","004c404c0100a1b1","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"1000","163.078387","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","42","004c414c170041000000000000000000000000000000012c011027010574","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"1001","163.087694","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","004d6a4d00a6eb","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"1003","163.170286","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","43","004d6b4d1800006405a40100006405a40100006405a40100006405a401eaf6","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"1004","163.178592","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","21","004e424e02000041e6","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
