No,Time,Source,Destination,Protocl,Length,Info,Value
1802,589.40665,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,42,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00524152170041000000000000000000000000000000012c01102701baef
1800,589.356991,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,20,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005240520100c3e9
1019,184.226727,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00523b520cf311000000000000f2110000ccec
1017,184.177383,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00523a520025a6
1797,588.358522,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,25,"Sent Write Command, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",0051fa05b79ec44eb91f44c18f
1799,589.345797,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,49,"Rcvd Handle Value Notification, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",0051a3511e00030000000068638e1acca7de21cf4e728a387ac9a87b8a3071083ab8ab90…
1016,184.167997,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005139510900ffc8c8c804000100ab23
1014,184.117629,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0051385100169d
1795,588.355499,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0050295009e8030000e80300000082c2
1790,588.179537,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005028500044ed
1013,184.109137,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005023500800000000000004003805
1011,184.056075,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0050225000852a
1789,588.175882,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004f6b4f1800006405a40100006405a40100006405a40100006405a40109be
1785,587.938235,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004f6a4f00c48d
1010,184.047253,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004f294f09e8030000000000000150ae
1008,182.220255,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004f284f0009fe
1006,163.226824,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,34,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004e434e0f00000000e803701700006e001e000fce00
1004,163.178592,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,21,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004e424e02000041e6
1784,587.935542,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,21,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004e3d4e020029752b
1782,587.848951,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,24,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004e3c4e05071200000ca79a
1781,587.845379,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004db34d1301dc0001640000000402000000000000000000872d
1779,587.791598,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004db24d009327
1003,163.170286,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004d6b4d1800006405a40100006405a40100006405a40100006405a401eaf6
1001,163.087694,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004d6a4d00a6eb
1000,163.078387,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,42,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004c414c170041000000000000000000000000000000012c011027010574
998,162.93418,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,20,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004c404c0100a1b1
1778,587.786705,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004c3b4c0c081200000000000007120000b3f8
1775,587.730043,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004c3a4c005986
997,162.927307,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004bb34b1300000000000000000400000000000000000000589a
993,162.726708,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004bb24b00358d
1773,587.725838,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004b6b4b1800006405a40100006405a40100006405a40100006405a401cf2f
1771,587.638119,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004b6a4b000041
1770,587.635755,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004ab34a1301dc00016400000004020000000000000000000724
1768,587.548527,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004ab24a0004be
992,162.717908,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,21,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004a3d4a0200242930
990,162.577875,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,24,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004a3c4a05ef11000005b568
1767,587.546635,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,36,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00496d491100000000000000000000000000000000010f5e
1765,587.456528,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00496c4900c295
989,162.569433,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00493b490cf011000000000000ef1100004d6b
987,162.518497,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00493a4900ac79
986,162.509476,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00483f48080100ffffffffff00297f
984,162.456376,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00483e48005d96
1764,587.455127,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,29,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00482b480a000000000000000000004e05
1762,587.397508,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00482a4800fe09
983,162.447499,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,29,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00472b470a00000000000000000000ad16
981,162.391241,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00472a4700c019
1761,587.395021,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0047294709e8030000e80300000002be
1759,587.337861,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0047284700a077
1758,587.336214,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004639460900ffc8c8c800000100da95
1756,587.276855,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0046384600f207
980,162.386697,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0046294609e8030000000000000197d4
978,162.338641,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",462846009144
1755,587.275194,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,36,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00456d451100000000000000000000000000000000012e86
1753,587.217494,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00456c4500afd0
977,162.330708,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004539450900ffc8c8c804c8010087a8
975,162.247849,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0045384500a152
974,162.24011,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,36,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00446d441100000000000000000000000000000000001048
972,162.155461,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00446c44009ee3
1752,587.215445,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00443f44080100ffffffffff005798
1750,587.156629,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00443e440030d3
970,162.147,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00433b430cf011000000000000ef110000e476
968,162.113425,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00433a43006796
1749,587.155162,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004323430800000000000004006120
1747,587.097917,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0043224300a57c
1746,587.095328,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,36,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00426d4211000000000000000000000000000000000131bc
1744,587.039409,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00426c42003849
966,146.039407,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,124,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00425942690f0000000000000000000078000000000000000000002c0100000000000000…
964,143.297495,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00425842005d50
958,142.976946,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,21,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00413d41020023d15e
950,142.890343,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,24,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00413c4105ea1100000b03e1
1743,587.035345,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,23,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0041254104b40001148d1a
1741,586.979027,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004124410067a8
1740,586.97568,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0040b3401301dc0001640000000402000000000000000000bc50
1738,586.920946,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0040b24000cf51
949,142.887662,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,42,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00404140170041000000000000000000000000000000002c01102701b63a
947,142.83082,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,20,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",004040400100c0c4
946,142.827244,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003f3b3f0ceb11000000000000ea1100008f85
1737,586.915423,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003f3b3f0c0812000000000000071200009705
1735,586.86174,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003f3a3f0053db
944,142.770575,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003f3a3f0053db
943,142.766639,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003e3b3e0ceb11000000000000ea110000eefe
941,142.71274,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003e3a3e0062e8
1734,586.855514,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003e393e0900ffc8c8c800000100c68c
1732,586.801051,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003e383e000286
940,142.707052,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003d3f3d080100ffffffffffff287c
938,142.672185,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003d3e3d00f161
1731,586.795423,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003d233d08000000000000040014c6
1729,586.743365,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003d223d00f357
935,141.959094,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003c373c08d7bf8d1afe0c00006e78
899,139.286854,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003c363c0061fb
1728,586.73624,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003c293c09e8030000e803000000e4df
1726,585.776553,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003c283c0003a3
1722,573.895195,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,21,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003b3d3b02002864c5
857,115.649223,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,21,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003b3d3b0200222e64
1720,573.840148,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,24,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003b3c3b05fb11000004c8c9
855,115.595491,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,24,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003b3c3b05df11000001df18
1719,573.836545,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,49,"Rcvd Handle Value Notification, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",003aa33a1e01000000000159638e1a12dcc48890adc5f3bbd3883c616b3895f0ef161ce5…
854,115.588536,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003a3b3a0ce011000000000000df110000d08d
851,114.641534,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003a3a3a00a624
1716,573.779417,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,25,"Sent Write Command, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",003a25a705fb4178bfee5c4dd1
849,114.629452,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,36,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00396d39110000000000000000000000000000000000bddf
847,114.576024,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00396c39009b9d
1714,573.77528,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0039293909e8030000000000000136e4
1712,573.717411,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0039283900f65c
1711,573.715623,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00383b380cfc11000000000000fb11000081a7
846,114.568037,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00383b380ce011000000000000df110000127b
1709,572.23224,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00383a3800c442
844,114.48724,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00383a3800c442
1696,533.936917,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003737370831638e1a860e00002b07
1694,533.364223,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00373637009b27
843,114.479287,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,23,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0037253704b4000114f0d2
841,113.521173,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0037243700980a
833,107.396847,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00363b360cdf11000000000000de110000b9a7
831,107.310021,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00363a3600cb61
1683,474.356116,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0036373608f5628e1a4a0e0000a528
1681,472.811413,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0036363600aa14
830,107.307182,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00353b350cdf11000000000000de1100001a2a
828,107.221438,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00353a35009834
1590,414.805827,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0035373508ba628e1a0f0e0000a164
1588,413.266587,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0035363500f941
827,107.217883,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,36,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00346d3411000000000000000000000000000000000083d9
825,107.131249,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00346c3400c7eb
1505,355.256257,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00343734087e628e1ad30d0000b9b1
1503,352.709225,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0034363400c872
1428,295.699272,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003337330843628e1a980d000078cd
1426,292.993474,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00333633005feb
824,107.127573,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,23,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0033253304b400011451d4
821,106.999346,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00332433005cc6
818,106.992142,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00326b321800006405a40100006405a40100006405a40100006405a401a494
816,106.681081,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00326a3200c1f3
1409,233.36934,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,34,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",003243320f00000000e803701700006e001e000f519e
1407,233.310006,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,21,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0032423202000006eb
815,106.677348,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00316b311800006405a40100006405a40100006405a40100006405a4012670
812,106.410231,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00316a310092a6
